key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
27,Cost Sharing,43,INTERNATIONAL ORGANIZATION FOR,UN_AGENCIES,UN Agencies,IOM,AGY_INTERNATIONAL ORGANIZATION,1000
28,Cost Sharing,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,4010197
29,Cost Sharing,60,GOVERNMENT OF BURUNDI,BDI,Burundi,BDI_GOVT,Burundi Government,9683
30,Cost Sharing,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,6444032
31,Cost Sharing,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,5362840
32,Cost Sharing,80,GOVERNMENT OF CZECH REPUBLIC,CZE,Czech Republic,CZE_GOVT,Czech Republic Government,578488
33,Cost Sharing,82,GOVERNMENT OF CHILE,CHL,Chile,CHL_GOVT,Chile Government,50000
34,Cost Sharing,85,"GOVERNMENT OF CAMEROON, REPUBL",CMR,Republic of Cameroon,CMR_GOVT,Republic of Cameroon Governmen,1729382
35,Cost Sharing,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,260986
36,Cost Sharing,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,15385126
37,Cost Sharing,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,16715150
38,Cost Sharing,112,GOVERNMENT OF FRANCE,FRA,France,FRA_GOVT,France Government,2950499
39,Cost Sharing,113,GOVERNMENT OF GABON,GAB,Gabon,GAB_GOVT,Gabon Government,1666666
40,Cost Sharing,117,GOVERNMENT OF GERMANY,DEU,Germany,DEU_GOVT,Germany Government,30567333
41,Cost Sharing,123,GOVERNMENT OF GUINEA,GIN,Guinea,GIN_GOVT,Guinea Government,500000
42,Cost Sharing,134,GOVERNMENT OF IRELAND,IRL,Ireland,IRL_GOVT,Ireland Government,1759202
43,Cost Sharing,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,11242776
44,Cost Sharing,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,314792069
45,Cost Sharing,142,GOVERNMENT OF KAZAKHSTAN,KAZ,Kazakhstan,KAZ_GOVT,Kazakhstan Government,1300000
46,Cost Sharing,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,1999970
47,Cost Sharing,152,GOVERNMENT OF LIECHTENSTEIN,LIE,Liechtenstein,LIE_GOVT,Liechtenstein Government,101626
48,Cost Sharing,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,1123038
49,Cost Sharing,161,GOVERNMENT OF MALTA,MAT,Malta,MAT_GOVT,Malta Government,28312
50,Cost Sharing,165,GOVERNMENT OF MEXICO,MEX,Mexico,MEX_GOVT,Mexico Government,300000
51,Cost Sharing,169,GOVERNMENT OF MONACO,MCO,Monaco,MCO_GVT,MONACO,284058
52,Cost Sharing,170,"GOVERNMENT OF MOLDOVA, REPUBLI",MDA,Moldova,MDA_GOVT,Moldova Government,25808
53,Cost Sharing,171,GOVERNMENT OF MONGOLIA,MNG,Mongolia,MNG_GOVT,Mongolia Government,49985
54,Cost Sharing,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,54449540
55,Cost Sharing,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,-412718
56,Cost Sharing,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,44733741
57,Cost Sharing,188,GOVERNMENT OF NEW ZEALAND,NZL,New Zealand,NZL_GOVT,New Zealand Government,3398909
58,Cost Sharing,198,GOVERNMENT OF POLAND,POL,Poland,POL_GOVT,Poland Government,500000
59,Cost Sharing,204,GOVERNMENT OF REPUBLIC OF KORE,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,11152500
60,Cost Sharing,205,GOVERNMENT OF ROMANIA,ROM,Romania,ROM_GOVT,Romania Government,1646338
61,Cost Sharing,206,GOVERNMENT OF RUSSIAN FEDERATI,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,1872006
62,Cost Sharing,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,4351692
63,Cost Sharing,215,GOVERNMENT OF SINGAPORE,SGP,Singapore,SGP_GOVT,Singapore Government,310694
64,Cost Sharing,216,GOVERNMENT OF SLOVAK REPUBLIC,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,394098
65,Cost Sharing,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,24975
66,Cost Sharing,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,9822699
67,Cost Sharing,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,10484628
68,Cost Sharing,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,3038680
69,Cost Sharing,246,GOVERNMENT OF UNITED ARAB EMIR,ARE,United Arab Emirates,ARE_GOVT,United Arab Emirates Governmen,53000000
70,Cost Sharing,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,4636975
71,Cost Sharing,253,GOVERNMENT OF UNITED STATES OF,USA,United States of America,USA_GOVT,United States of America Gover,1196318
72,Cost Sharing,259,GOVERNMENT OF DEM REPUBLIC OF,ZAR,Democratic Republic of Congo,ZAR_GOVT,Democratic Republic of Congo G,99980
73,Cost Sharing,280,EUROPEAN UNION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,6213663
74,Cost Sharing,281,INTERNATIONAL DEVELOPMENT RESE,CAN,Canada,CANADA_OTHER,Canada - other,105007
75,Cost Sharing,288,ORGANIZATION OF AMERICAN STATE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OAS,ORGANIZATN OF AMERICAN STATES,3921
76,Cost Sharing,296,UNITED NATIONS,UN_AGENCIES,UN Agencies,UN,United Nations,1065657
77,Cost Sharing,297,UNAIDS,UN_AGENCIES,UN Agencies,UNAIDS,AGY_UNAIDS,233441
78,Cost Sharing,302,UNFIP TURNER FOUNDATION,UN_AGENCIES,UN Agencies,UNFIP,AGY_UNFIP TURNER FOUNDATION,49680
79,Cost Sharing,304,FORD FOUNDATION,INTL_FOUNDATIONS,International Foundations,FORD,FORD FOUNDATION,410401
80,Cost Sharing,311,PRIVATE SECTOR,NATL_PRIV_SECTOR,National Private Sector,PRIVSECT,PRIV_PRIVATE SECTOR,574794
81,Cost Sharing,313,INCOME GENERATED FROM PROJECTS,UN_AGENCIES,UN Agencies,IGP,AGY_INCOME GENERATED FROM PROJ,27219
82,Cost Sharing,316,CONRAD HILTON FOUNDATION,INTL_FOUNDATIONS,International Foundations,CONRAD_HILTON,CONRAD HILTON,261000
83,Cost Sharing,327,"GLOBAL FUND TO FIGHT AIDS, TUB",FUNDS_GFATM,FUNDS_GFATM,GFATM,GFATM,396379519
84,Cost Sharing,329,DANIDA:,DNK,Denmark,DNK_DEVT_AGENCY,Denmark Development Agency,2059559
85,Cost Sharing,390,UN CONF ON TRADE & DEVELOPMENT,UN_AGENCIES,UN Agencies,UNCTAD,AGY_UN CONF ON TRADE & DEVELOP,1080
86,Cost Sharing,393,WORLD VISION,INTERNATIONAL NGO,International NGO,WORLD VISION,WORLD VISION,48619
87,Cost Sharing,455,JAPANESE INTNL COOP  AC.:UNCDF,JPN,Japan,JPN_DEVT_AGENCY,Japan Development Agency,48564
88,Cost Sharing,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_DEVT_AGENCY,Canadian Development Agency,760562
89,Cost Sharing,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_INTL_DEVT_AGENCY,Great Britain Intl Devt Agency,56280008
90,Cost Sharing,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SWE_GOVT_DEVT_AGENCY,Swedish Int'l Devt Agency,55691570
91,Cost Sharing,559,OFFICE OF THE HIGH COMMISSIONE,UN_AGENCIES,UN Agencies,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,331647
92,Cost Sharing,623,PER-COMPAÑIA MINERA ANTAMINA,NATL_PRIV_SECTOR,National Private Sector,ANTAMINA,PRIV_PER-COMPAÑIA MINERA ANTAM,190030
93,Cost Sharing,717,The Republic of Korea,KOR,Republic of Korea,KOR_GOVT,Republic of Korea Government,2660693
94,Cost Sharing,735,COL-CAMARA DE COMERCIO DE BOGO,COL,Colombia,COL_GOVT,Colombia Government,127245
95,Cost Sharing,787,PER-COFIDE,PER,Peru,PER_MIN,Peru Ministry,206203
96,Cost Sharing,893,COL-EMPRESA COLOMBIANADE PETRO,NATL_PRIV_SECTOR,National Private Sector,ECOPETROL,PRIV_COL-EMPRESA COLOMBIANADE,313089
97,Cost Sharing,1009,ECU-GLOBAL ENVIRONMENT FACILIT,FUNDS_GEF,FUNDS_GEF,GEF/PPA,GLOBAL ENVIRONMENT FACILITY,10800
98,Cost Sharing,1040,PAR-GOBIERNO DEL PARAGUAY,PRY,Paraguay,PRY_GOVT,Paraguay Government,829095
99,Cost Sharing,1073,ROM-GOVERNMENT,ROM,Romania,ROM_GOVT,Romania Government,60000
100,Cost Sharing,1612,TUR-PRIVATE SECTOR,NATL_PRIV_SECTOR,National Private Sector,PRIVSECT,PRIV_PRIVATE SECTOR,754131
101,Cost Sharing,1655,RUSSIAN GOVERNMENT,RUS,Russian Federation,RUS_GOVT,Russian Federation Government,4100000
102,Cost Sharing,1852,International Atomic Energy Ag,UN_AGENCIES,UN Agencies,IAEA,AGY_International Atomic Energ,10800
103,Cost Sharing,1860,UN High Com'r Human Rights,UN_AGENCIES,UN Agencies,OHCHR,AGY_OFFICE OF THE HIGH COMMISS,41080
104,Cost Sharing,1864,World Trade Organization,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WTO_TRADE,World Trade Organization,165904
105,Cost Sharing,10004,UN INSITUTION FOR TRAINING AND,UN_AGENCIES,UN Agencies,UNITAR,AGY_UN INSITUTION FOR TRAINING,130680
106,Cost Sharing,10008,UN Office for Project Services,UN_AGENCIES,UN Agencies,UNOPS,United Nations Office for Proj,1601657
107,Cost Sharing,10012,BILL AND MELINDA GATES FOUNDAT,INTL_FOUNDATIONS,International Foundations,GATES_FOUNDATION,Bill &Melinda Gates Foundation,1998356
108,Cost Sharing,10062,World Wildlife Fund -WWF,INTERNATIONAL NGO,International NGO,WWF,WORLD WILDLIFE FUND- WWF,-521
109,Cost Sharing,10075,CHURCH OF CHRIST,INTERNATIONAL NGO,International NGO,CHURCH OF CHRIST,Church of Christ,400000
110,Cost Sharing,10152,MEDICAL RESEARCH COUNCIL,NATL_PRIV_SECTOR,National Private Sector,MEDICAL RE,PRIV_MEDICAL RESEARCH COUNCIL,369993
111,Cost Sharing,10159,EUROPEAN COMMISSION,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,323791219
112,Cost Sharing,10175,INSTITUTE MULTI-DEMOCRACY,NATL_PRIV_SECTOR,National Private Sector,INSTITUTE,PRIV_INSTITUTE MULTI-DEMOCRACY,965
113,Cost Sharing,10180,"UNMIK, KOSOVO",UN_AGENCIES,UN Agencies,UNMIK_ KOS,AGY_UNMIK_ KOSOVO,499797
114,Cost Sharing,10191,"UNCCD, BONN",UN_AGENCIES,UN Agencies,UNCCD_ BON,AGY_UNCCD_ BONN,43030
115,Cost Sharing,10192,"UNFCCC, BONN",UN_AGENCIES,UN Agencies,UNFCCC_ BO,AGY_UNFCCC_ BONN,161028
116,Cost Sharing,10224,INTERCHURCH ORG FOR DEVELOPMEN,INTL_PRIV_SECTOR,International Private Sector,NLD-ICCO,ICCO,1
117,Cost Sharing,10237,FED MINISTRY FOR ECONOMIC COOP,DEU,Germany,DEU_GOVT,Germany Government,212314
118,Cost Sharing,10239,FED MINISTRY FOR THE ENVIRO -,DEU,Germany,DEU_GOVT,Germany Government,639917
119,Cost Sharing,10251,ORG FOR THE PROHIBITION CHEMIC,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OPCW,ORG FOR PROHIBN CHEM WPNS,1080
120,Cost Sharing,10277,VODAFONE,INTL_PRIV_SECTOR,International Private Sector,VODAFONE,PRIV_VODAFONE,444660
121,Cost Sharing,10279,NEW ZEALAND AGY FOR INT'L DEVE,NZL,New Zealand,NZL_DEVT_AGENCY,New Zealand Development Agency,1013100
122,Cost Sharing,10281,DEPT OF FOR AFF & INTL TRADE G,CAN,Canada,CAN_DEVT_AGENCY,Canadian Development Agency,-2370
123,Cost Sharing,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_DEVT_AGENCY,Swiss Development Agency,29173423
124,Cost Sharing,10283,KREDITANSTALT FUR WIEDERAUFBAU,DEU,Germany,DEU_AGY_KFW,Germany Agency KfW,96154003
125,Cost Sharing,10314,BRITISH EMBASSY,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,61001
126,Cost Sharing,10315,ORG FOR SECURITY AND COOPERATI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,0SCE,INTER-GOVERN_EUROP SEC ORG,641290
127,Cost Sharing,10322,UNILEVER PLC,INTL_PRIV_SECTOR,International Private Sector,GBR-,UNILEVER,106157
128,Cost Sharing,10324,STANDARD CHARTERED BANK,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,5000
129,Cost Sharing,10326,UN POLITICAL OFFICE FOR SOMALI,UN_AGENCIES,UN Agencies,UNPOS,AGY_UN POLITICAL OFFICE FOR SO,283539
130,Cost Sharing,10331,UN Stabilization Mission in Ha,UN_AGENCIES,UN Agencies,MINUSTAH,UN Stabilization Mission-Haiti,2461187
131,Cost Sharing,10334,UN RELIEF AND WORKS AGENCY,UN_AGENCIES,UN Agencies,UNRWA,AGY_UNRWA,19970548
132,Cost Sharing,10342,OXFAM,INTERNATIONAL NGO,International NGO,OXFAM_AFFILIATES,OXFAM Affiliates,599745
133,Cost Sharing,10389,ROCKEFELLER BROTHERS FUND,INTL_FOUNDATIONS,International Foundations,ROCKE,ROCKEFELLER FOUNDATION,50000
134,Cost Sharing,10465,AGENCIA CATALANA DE COOP AL DE,ESP,Spain,ESP_GOVT_DEVT_AGENCY,Spain Government Devt agency,212314
135,Cost Sharing,10480,USAID,USA,United States of America,USA_GOVT_DEVT_AGENCY,USA Govt Development Agency,66119666
136,Cost Sharing,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_GOVT,Norway Government,1854636
137,Cost Sharing,10514,INT. CENTER MIGRATION POL.DEVP,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ICMPD,INT. CENTER MIGRN POL. DEVP,80564
138,Cost Sharing,10565,GOBIERNO VASCO,ESP,Spain,ESP_GOVT,Spain Government,123420
139,Cost Sharing,10600,SWEDBIO,SWE,Sweden,SWE_GOVT_OTHER_AGY,Sweden Govt Other agencies,66985
140,Cost Sharing,10602,UN-HABITAT,UN_AGENCIES,UN Agencies,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,203368
141,Cost Sharing,10699,WORLD CONSERVATION UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WCU,WORLD CONSERVATION UNION,55566
142,Cost Sharing,10712,KOREA INTERN. COOPERATION AGEN,KOR,Republic of Korea,KOR_GOVT_DEVT_AGENCY,Korea Govt Development Agency,3693974
143,Cost Sharing,10714,MPTFO AS AA FOR JP PASS THROUG,MDTF1,Multi Partner Trust Funds,UNDP(JPAA),MDTF_PASSTHROUGH,98623381
144,Cost Sharing,10715,KOREA INTERN.COOPERATION AGNCY,KOR,Republic of Korea,KOR_GOVT_DEVT_AGENCY,Korea Govt Development Agency,617931
145,Cost Sharing,10737,COCA COLA COMPANY,INTL_PRIV_SECTOR,International Private Sector,COCA COLA,PRIV_COCA COLA,765300
146,Cost Sharing,10779,UNOPS-CSA,UN_AGENCIES,UN Agencies,UNOPS,United Nations Office for Proj,-40945
147,Cost Sharing,10783,"MILLENNIUM PROMISE ALLIANCE, I",INTERNATIONAL NGO,International NGO,MP,MILLENNIUM PROMISE,-55802
148,Cost Sharing,10792,STOCKHOLM INT'L WATER INSTITUT,INTL_PRIV_SECTOR,International Private Sector,SIWI,"PRIV_SIWI, SWEDEN",-25
149,Cost Sharing,10855,SEGIB,MUTLI_AGY2,MULTI-LATERAL AGENCY2,SEGIB,Secretaría General Iberoameric,33337
150,Cost Sharing,10861,ALLIANCE OF MAYORS AND MUNICIP,NAM,Namibia,NAM_GOVT,Namibia Government,-183
151,Cost Sharing,10869,UN DEMOCRACY FUND (UNDEF),UN_AGENCIES,UN Agencies,UN,United Nations,-9417
152,Cost Sharing,10885,OPEN SOCIETY INSTITUTE IN WEST,INTL_FOUNDATIONS,International Foundations,SOROS_OPEN SOC INSTI,SOROS OPEN SOCIETY INSTITUTE,70000
153,Cost Sharing,10956,COSUDE,CHE,Switzerland,CHE_DEVT_AGENCY,Swiss Development Agency,1330526
154,Cost Sharing,10958,ORG.ECONOMIC CO-OPERATION AND,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OECD,OECD,32912
155,Cost Sharing,10964,MARIA SHARAPOVA FOUNDATION,INTL_FOUNDATIONS,International Foundations,MSFOUNDATION,MARIA SHARAPOVA FOUNDATION,10500
156,Cost Sharing,10994,ICELAND - MIN. FOREIGN AFFAIRS,ISL,Iceland,ISL_GOVT,Iceland Government,120000
157,Cost Sharing,11004,TURKISH CYPRIOT MEMBER OF CMP,NATL_PRIV_SECTOR,National Private Sector,TC MEMBER,PRIV_TURKEY,84937
158,Cost Sharing,11033,MPTF -LEBANON RECOVERY FUND,MDTF1,Multi Partner Trust Funds,LRF,JP LEBANON,71867
159,Cost Sharing,11074,AGENCE FRANCAISE DE DEVELOPPEM,FRA,France,FRA_DEVT_AGENCY,France Development Agency,110438
160,Cost Sharing,11102,"HOLCIM ( SLOVAKIA),A.S.",INTL_PRIV_SECTOR,International Private Sector,HOLCIM,PRIV_HOLCIM GROUP LIMITED,3381
161,Cost Sharing,11103,MPTFO Tanzania One UN Fund,MDTF1,Multi Partner Trust Funds,MPTF-TZ100,MPTF TZA One UN Fund,1089077
162,Cost Sharing,11120,OPEC Fund for International De,MUTLI_AGY2,MULTI-LATERAL AGENCY2,OFID,OPEC FUND INTL DEV,3234850
163,Cost Sharing,11122,Al Maktoum Foundation,NATL_FOUNDATIONS,National Foundations,MBRF,Al Maktoum Foundation,797137
164,Cost Sharing,11140,Japanese international Coopera,JPN,Japan,JPN_DEVT_AGENCY,Japan Development Agency,2279836
165,Cost Sharing,11207,US Department of State,USA,United States of America,USA_GOVT,United States of America Gover,11101591
166,Cost Sharing,11211,IRISH AID,IRL,Ireland,IRL_DEVT_AGENCY,Ireland Development Agency,600891
167,Cost Sharing,11217,Berghof Foundation for Peace S,INTL_FOUNDATIONS,International Foundations,BFPS,BERGHOF FOUNDATION FOR PEACE S,45454
168,Cost Sharing,11227,Italian Min. for Foreign Affai,ITA,Italy,ITA_GOVT,Italy Government,1114827
169,Cost Sharing,11234,Australian Agency for Int'l De,AUS,Australia,AUS_DEVT_AGENCY,Australia Development Agency,9777466
170,Cost Sharing,11266,Austrian Development Agency,AUT,Austria,AUT_DEVT_AGENCY,Austria Development Agency,5264034
171,Cost Sharing,11314,MDTFO/JP_Indig_Rights_GUA,MDTF1,Multi Partner Trust Funds,JP-GT INDG,GUATEMALA,759761
172,Cost Sharing,11325,Ministry of Finance Slovak Rep,SVK,Slovak Republic,SVK_GOVT,Slovak Republic Government,2000050
173,Cost Sharing,11329,CORPORACION ANDINA DE FOMENTO,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,135000
174,Cost Sharing,11344,MDTFO/JP_UN_Country_Fund_PNG,MDTF1,Multi Partner Trust Funds,PNG_ONE_UN,PAPUA NEW GUINEA,5063450
175,Cost Sharing,11347,ALCI Lodi,NATIONAL NGO,National NGO,ALCI,"ALCI, LODI, ITALY",8492
176,Cost Sharing,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGENCIES,UN Agencies,OCHA,AGY_UNOCHA1,6152419
177,Cost Sharing,11363,Peacebuilding Fund,MDTF1,Multi Partner Trust Funds,PBF,PEACEBUILDING,28610048
178,Cost Sharing,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_DEVT_AGENCY,Swiss Development Agency,2664059
179,Cost Sharing,11410,Foreign common wealth ofice,GBR,United Kingdom,GBR_INTL_DEVT_AGENCY,Great Britain Intl Devt Agency,8284792
180,Cost Sharing,11419,Live Lebanon,NATIONAL NGO,National NGO,LIVE LEBANON,LIVE LEBANON,273725
181,Cost Sharing,11435,Haiti Relief Donors,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,10000
182,Cost Sharing,11445,UNOPS - EIF Trust Fund manager,UN_AGENCIES,UN Agencies,EIF TFM,MULITAG_EIF TF,1443608
183,Cost Sharing,11455,MDTFO/JP-Montengro_UN__Cty_Fun,MDTF1,Multi Partner Trust Funds,ME_UN_FUND,MDTFO/JP-Montengro_UN__Cty_Fun,198375
184,Cost Sharing,11502,MDTFO/JP_UNDG_HAITI_RECONSTRUC,MDTF1,Multi Partner Trust Funds,UNDG HRF,MDTFO/JP_UNDG_HAITI_RECONSTRUC,16830000
185,Cost Sharing,11517,OIOS,UN_AGENCIES,UN Agencies,OIOS,UN_OIOS,20000
186,Cost Sharing,11526,MDTFO/JP_Somalia_Humanitarian,MDTF1,Multi Partner Trust Funds,SOM_CHF,MDTFO/JP_Somalia_Humanitarian,250000
187,Cost Sharing,11561,Solidarite & development Rural,NATIONAL NGO,National NGO,SODERU,Solidarite & development Rural,14975
188,Cost Sharing,11582,INTL ISLAMIC  TRADE FINANCE CO,REGIONAL_BANKS,Regional Banks,REGIONAL_BANKS_FI,Regional Banks FIs,-2000000
189,Cost Sharing,11598,EUROPE AID,FUNDS_EU,FUNDS_EU,EU,EUROPEAN UNION,1443
190,Cost Sharing,11604,Sweden Folke Bernadotte Academ,SWE,Sweden,SWE_GOVT_OTHER_AGY,Sweden Govt Other agencies,10000
191,Cost Sharing,11631,NIMD,NATIONAL NGO,National NGO,COL_NIMD,NIMD,30614
192,Cost Sharing,11654,Fundacion Provivienda Social,NATL_FOUNDATIONS,National Foundations,ARG_FOUNDATIONS,Argentina Foundations,0
193,Cost Sharing,11663,SIEMENS AG,INTL_PRIV_SECTOR,International Private Sector,SIEMENS AG,PRIV,3076995
194,Cost Sharing,11665,MDTFO/JP_Maldives_one_UN_Fund,MDTF1,Multi Partner Trust Funds,MDV_ONE_UN,MDTFO/JP_Maldives_one_UN_Fund,2692975
195,Cost Sharing,11669,MDTFO/JP_Kazakhstan_RPSS,MDTF1,Multi Partner Trust Funds,KAZ_RPSS,MDTFO/JP_Kazakhstan_RPSS,-15224
196,Cost Sharing,11686,FAMILY HEALTH INTERNATIONAL RE,INTERNATIONAL NGO,International NGO,FHI2,Family Health International,199974
197,Cost Sharing,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,3330299
