key,OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Expenses
64,"South Sudan, Republic of",551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,4736974.83
65,Haiti,11502,MDTFO/JP_UNDG_HAITI_RECONSTRUC,MDTF1,BU,UNDG HRF,MDTFO/JP_UNDG_HAITI_RECONSTRUC,4714323.19
66,Mexico,11064,SEP,MEX,Mexico,MEX_MIN,Mexico Ministry,4667372.91
67,"Sudan, Republic of the",551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,4573419.95
68,Myanmar,11613,LIFT_Trust_Fund_Manager,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CO_AA_MDTF,CO_AA_MDTF,4566644.93
69,Iraq,11664,MDTFO/JP_Iraq_UNDAF_Trust_Fund,MDTF1,BU,IRAQ_UNDAF,MDTFO/JP_Iraq_UNDAF_Trust_Fund,4493185.39
70,Chad,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,4474704.66
71,Bangladesh,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,4292174.47
72,Somalia,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,4189666.2
73,Kenya,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,4134611.01
74,Afghanistan,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,4131370.48
75,Nepal,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,3951975.06
76,Mexico,1683,MEX-SECRETARIA DE MEDIO AMBIEN,MEX,Mexico,MEX_MIN,Mexico Ministry,3946405.23
77,Colombia,850,COL-DEPARTAMENTO ADMINISTRATIV,COL,Colombia,COL_MIN1,Colombia Ministry1,3903072.76
78,Nigeria,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,3893458.65
79,Chad,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,3836253.65
80,Afghanistan,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,3784531.49
81,Brazil,11240,BRA-MIN DESENVOL VIMENTO AGRA,BRA,Brazil,BRA_MIN,Brazil Ministry,3754167.6
82,Kenya,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,3706037.88
83,Uruguay,1034,URU-GOBIERNO DEL URUGUAY,URY,Uruguay,URY_GOVT,Uruguay Government,3665218.55
84,United Republic of Tanzania,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,3654739.5
85,Cyprus,10480,USAID,USA,United States of America,USAID,USAID,3580975.52
86,Bureau for Dev. Policy,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,3565880.2
87,Somalia,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,3516986.43
88,Honduras,1658,HON-SECRETARIA DE AGRICULTURA,HND,Honduras,HND_MIN,Honduras Ministry,3460922.11
89,China,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,3437395.16
90,"Sudan, Republic of the",141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,3392734.46
91,Iraq,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,3283074.02
92,China,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,3260830.61
93,Colombia,1373,COL-MINISTERIO DE TRABAJO Y SE,COL,Colombia,COL_MIN,Colombia Ministry,3239301.54
94,Cambodia,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,3224523.7
95,Pakistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,3163968.87
96,Egypt,1277,EGY-MINISTRY OF COMMUNICATION,EGY,Egypt,EGY_MIN,Egypt Ministry,3155581.78
97,Mali,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,3140893.56
98,Colombia,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,3085495.05
99,Bureau for Dev. Policy,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,3063210.43
100,Lebanon,1398,LEB-MINISTRY OF ENVIRONMENT,LBN,Lebanon,LBN_MIN,Lebanon Ministry,3053717.06
101,Colombia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,3034628.15
102,"South Sudan, Republic of",182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,3028298.25
103,Togo,237,GOVERNMENT OF TOGO,TGO,Togo,TGO_GOVT,Togo Government,2964161.97
104,Bureau for Dev. Policy,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,2921010.68
105,Nepal,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,2865363.24
106,Honduras,1117,HON-EMPRESA HONDUREÑA DE TELEC,HND,Honduras,HND_MIN,Honduras Ministry,2854680.67
107,Colombia,1356,COL-MINISTERIO DEL INTERIOR,COL,Colombia,COL_MIN,Colombia Ministry,2844132.67
108,Cyprus,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2801560.23
109,Tajikistan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2771511.06
110,Kenya,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,2737899.39
111,Guatemala,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,2715111.24
112,El Salvador,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,2560417.37
113,Indonesia,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,2539619.86
114,Kenya,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,2529424.38
115,India,12045,GOVT. OF WEST BENGAL,IND,India,IND_GOVT,India Government,2510025.23
116,Lebanon,11033,LEBANON RECOVERY FUND,MDTF1,BU,LRF,JP LEBANON,2492727.48
117,Bureau for Dev. Policy,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,2457902.77
118,Afghanistan,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,2438414.52
119,Democratic Republic of Congo,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,2430132.81
120,"Belarus, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2428996.54
121,Somalia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2410137.15
122,Bangladesh,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,2389627.56
123,Bulgaria,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,2386582.83
124,Reg Bureau for Africa,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,2376606.33
125,Iraq,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,2368940.63
126,Afghanistan,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,2357892.28
127,Georgia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2338577.16
128,Bureau for Dev. Policy,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,2318190.35
129,Kenya,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2292830.43
130,Haiti,1107,HAI-GOVERNMENT OF HAITI,HTI,Haiti,HTI_GOVT,Haiti Government,2291449.64
131,Timor-Leste,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,2275963.67
132,Mozambique,231,GOVERNMENT OF SWEDEN,SWE,Sweden,SWE_GOVT,Sweden Government,2272629.92
133,Azerbaijan,1060,AZE-GOVERNMENT,AZE,Azerbaijan,AZE_GOVT,Azerbaijan Government,2226475.62
134,Guatemala,10480,USAID,USA,United States of America,USAID,USAID,2208979.49
135,Kenya,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2173269.64
136,Kyrgyzstan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,2093677.53
137,Bosnia and Herzegovina,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,2071433.58
138,Colombia,1125,COL-INSTITUTO COLOMBIANO DE BI,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ICBF,PRIV_COL-INSTITUTO COLOMBIANO,2065169.21
139,Somalia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,2048358.34
140,Benin,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,2042875.79
141,Nicaragua,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,2034322.21
142,Somalia,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1947824.93
143,Liberia,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,1943380.42
144,Chile,1185,CHI-INSTITUTO NACIONAL DE LA J,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INJ,PRIV_CHI-INSTITUTO NACIONAL DE,1941141.37
145,Turkey,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1930974.38
146,El Salvador,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1896577.79
147,Mexico,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,1887675.23
148,Sao Tome and Principe,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,1885092.1
149,Prog for Palestinian People,10639,SAUDI COMMITEE FOR PP RELIEF,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,SAUDI COMM,PRIV_SAUDI COMM,1884943.68
150,Haiti,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,1864194.72
151,"Sudan, Republic of the",10480,USAID,USA,United States of America,USAID,USAID,1849660.06
152,Iraq,135,GOVERNMENT OF IRAQ,IRQ,Iraq,IRQ_GOVT,Iraq Government,1846670.22
153,Angola,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,1846214.25
154,Democratic Republic of Congo,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,1834513.94
155,Colombia,11893,Departamento para la Prosperid,COL,Colombia,COL_GOVT,Colombia Government,1814995.68
156,Bangladesh,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,1807664.54
157,Prog for Palestinian People,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,1790739.81
158,Libya,11779,MPTF Libya recovery Trust Fund,MDTF1,BU,LBY_,MPTF Libya recovery Trust Fund,1781616.23
159,Benin,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,1774563.59
160,Bureau for Dev. Policy,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,1765269.94
161,Bratislava Regional Center,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,1759392.92
162,Bureau for Dev. Policy,220,GOVERNMENT OF SPAIN,ESP,Spain,ESP_GOVT,Spain Government,1751248.93
163,Prog for Palestinian People,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,1735081.35
164,Pakistan,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1732015.57
165,Turkmenistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,1708345.26
166,Côte d’Ivoire,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,1704165.57
167,Guatemala,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1692871.58
168,Bangladesh,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1680137.15
169,"Macedonia, former Yugoslav Rep",163,"GOVERNMENT OF MACEDONIA, THE F",MKD,Macedonia,MKD_GOVT,Macedonia Government,1669287.91
170,Philippines,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,1664387.35
171,Bolivia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,1660034.22
172,Central African Republic,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1659820.76
173,Côte d’Ivoire,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,1649817.8
174,Afghanistan,131,GOVERNMENT OF INDIA,IND,India,IND_GOVT,India Government,1635154.02
175,Mali,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1623657.65
176,Bosnia and Herzegovina,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1617080.3
177,Malawi,168,GOVERNMENT OF MALAWI,MWI,Malawi,MWI_GOVT,Malawi Government,1602982.74
178,Guatemala,10281,DEPT OF FOR AFF & INTL TRADE G,CAN,Canada,CAN_GOVT,Canada Government,1596633.68
179,Chile,1345,CHI-MINISTERIO DE EDUCACION,CHL,Chile,CHL_MIN,Chile Ministry,1582579
180,Kenya,10480,USAID,USA,United States of America,USAID,USAID,1581906.79
181,Croatia,10902,ENERGY EFFICIENCY FUND,HRV,Croatia,HRV_MIN,GOVERNMENT OF CROATIA,1580272.89
182,Barbados,137,GOVERNMENT OF ITALY,ITA,Italy,ITA_GOVT,Italy Government,1580252.61
183,Prog for Palestinian People,20,ISLAMIC DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ISDB,ISLAMIC DEVELOPMENT BANK,1568102.07
184,Chile,1377,CHI-MINISTERIO DE VIVIENDA Y U,CHL,Chile,CHL_MIN,Chile Ministry,1559736.7
185,Cuba,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,1558237.08
186,Burkina Faso,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1552285.93
187,Liberia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1531338.1
188,Rwanda,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,1530818.53
189,Lebanon,1405,LEB-MINISTRY OF FINANCE,LBN,Lebanon,LBN_MIN,Lebanon Ministry,1513780.45
190,Bureau for Dev. Policy,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,1506502.05
191,Nigeria,11268,Delta State Government,NGA,Nigeria,NGA_GOVT,Nigeria Government,1477412.69
192,Cuba,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,1467851.63
193,El Salvador,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,1466841.29
194,Kosovo,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,1465248.23
195,Kazakhstan,11669,MDTFO/JP_Kazakhstan_RPSS,MDTF1,BU,KAZ_RPSS,MDTFO/JP_Kazakhstan_RPSS,1463040.29
196,Viet Nam,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1448898.23
197,Somalia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,1439365.92
198,Peru,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,1437837.31
199,Kosovo,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,1430930.12
200,Cuba,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,1406578.69
201,Niger,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,1399711.93
202,Lebanon,1528,LEB-OFFICE OF THE MINISTER OF,LBN,Lebanon,LBN_MIN,Lebanon Ministry,1396311.19
203,Democratic Republic of Congo,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,1386903.41
204,Botswana,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,1380157.82
205,Somalia,248,GOVERNMENT OF UNITED KINGDOM,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,1380060.22
206,Sri Lanka,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,1376796.09
207,Pakistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,1370658.91
208,Pakistan,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,1368090.97
209,Somalia,219,GOVERNMENT OF SOMALIA,SOM,Somalia,SOM_GOVT,Somalia Government,1366470
210,Jordan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,1359042.16
