key,Fund Rollup Level 3,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
0077,Special Activities,311,PRIVATE SECTOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,PRIVSECT,PRIV_PRIVATE SECTOR,$0
0078,Special Activities,448,UNDP SLOVENIA: UNCDF ONLY,-,-,-,-,$0
0079,Special Activities,458,MERCY CORPS INTNL:UNCDF,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0080,Special Activities,536,DENMARK NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,DENNC,PRIV_DENMARK NATIONAL COMMITTE,$0
0081,Special Activities,537,FRANCE NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FRANC,PRIV_FRANCE NATIONAL COMMITTEE,$0
0082,Special Activities,538,GERMANY NATIONAL COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GERNC,PRIV_GERMANY NATIONAL COMMITTE,$0
0083,Special Activities,548,VOLUNTARY SERVICE OVERSEAS,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0084,Special Activities,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"$276,996"
0085,Special Activities,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,$0
0086,Special Activities,812,PER-CONGRESO DE LA REPUBLICA D,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0087,Special Activities,1235,PER-JAPON,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0088,Special Activities,1642,JAM-SUPPORT TO RES COORD.,UN_AGY 1,UN AGENCY 1,RES COORD.,AGY_JAM-SUPPORT TO RES COORD.,$0
0089,Special Activities,1863,UN Office in Vienna,UN_AGY 1,UN AGENCY 1,UNOV,AGY_UN Office in Vienna,$0
0090,Special Activities,1865,UN Information Centre,UN_AGY 1,UN AGENCY 1,UNIC,AGY_UN Information Centre,$0
0091,Special Activities,10024,ZETHA MP CONGO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ZMPCOG,PRIV_ZETHA MP CONGO,$0
0092,Special Activities,10046,GTZ,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,$0
0093,Special Activities,10102,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,$0
0094,Special Activities,10153,UN Department of Safety and Se,UN_AGY 1,UN AGENCY 1,UNSECOORD,AGY_UNSECOORD,"$3,642"
0095,Special Activities,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,$0
0096,Special Activities,10187,"UNOMB, BOUGAINVILLE",UN_AGY 1,UN AGENCY 1,UNOMB,AGY_UNOMB_ BOUGAINVILLE,$0
0097,Special Activities,10216,AG. ESPANOLA DE COOPERACION IN,ESP,Spain,ESP_MIN,Spain Ministry,$0
0098,Special Activities,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,$0
0099,Special Activities,10441,UNWOMN AUSTRALIA NATIONAL COMM,OTH_UND1,OTHERS_UNIDENTIFIED1,OTH_UND2,OTHERS_UNIDENTIFIED2,$0
0100,Special Activities,10480,USAID,USA,United States of America,USAID,USAID,"$4,341,390"
0101,Special Activities,10540,PER-AGENCIA SUIZA PARA EL DESA,CHE,Switzerland,CHE_MIN,Switzerland Ministry,$0
0102,Special Activities,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"($81,457)"
0103,Special Activities,10776,UNWOMEN - CSA,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,$0
0104,Special Activities,10778,UNFPA-CSA,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,"($157,448)"
0105,Special Activities,10936,NEW ZEALAND AID,NZL,New Zealand,NZL_MIN,New Zealand Ministry,$0
0106,Special Activities,11164,FUNDACION PLAN INTERNATIONAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,PLANCOL,PRIV_PLAN INT'L IN COLOMBIA,$0
0107,Special Activities,11171,INTERNATIONAL RESCUE COMMITTEE,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,IRC,PRIV_USA,$0
0108,Special Activities,11211,IRISH AID,IRL,Ireland,IRL_GOVT,Ireland Government,$0
0109,Special Activities,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"$626,204"
0110,Special Activities,11344,MDTFO/JP_UN_Country_Fund_PNG,MDTF1,BU,PNG_ONE_UN,PAPUA NEW GUINEA,$0
0111,Special Activities,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"$1,157,233"
0112,Special Activities,11403,SDC-Swiss Agency For Developme,CHE,Switzerland,CHE_MIN,Switzerland Ministry,$0
0113,Special Activities,11450,MDTFO/JP_Lesotho_one_UN_Fund,MDTF1,BU,LSO_ONE_FE,LESOTHO ONE UN FUND,$0
0114,Special Activities,11451,MDTFO/JP_Comros_One_UN_Fund,MDTF1,BU,COM_ONE_FD,MDTFO/JP_Comros_One_UN_Fund,$0
0115,Special Activities,11568,Federacion Luterana Mundial,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,FEDLUTEMUN,PRIV_LUTHEREAN,$0
0116,Special Activities,11688,DEUTSCHE GESELLSCHAFT FUR INTE,DEU,Germany,DEU_AGY_GIZ,Germany Agency GIZ,"$13,569"
0117,Special Activities,12109,Micronutrient Initiative Canad,-,-,-,-,"$48,356"
0118,Cost Sharing,-,-,-,-,-,-,"$1,724"
0119,Cost Sharing,1,UN DEPT OF ECONOMIC AND SOCIAL,UN_AGY 1,UN AGENCY 1,UNDESA,AGY_UN DEPT OF ECONOMIC AND SO,($151)
0120,Cost Sharing,3,INTERNATIONAL LABOUR ORGANIZAT,UN_AGY 1,UN AGENCY 1,ILO,AGY_INTERNATIONAL LABOUR ORGAN,($987)
0121,Cost Sharing,4,FOOD AND AGRICULTURE ORGANIZAT,UN_AGY 1,UN AGENCY 1,FAO,AGY_FOOD AND AGRICULTURE ORGAN,"$28,745"
0122,Cost Sharing,5,UNESCO,UN_AGY 1,UN AGENCY 1,UNESCO,AGY_UNITED NATIONS EDUCATIONAL,"$41,399"
0123,Cost Sharing,6,WORLD HEALTH ORGANIZATION,UN_AGY 1,UN AGENCY 1,WHO,AGY_WORLD HEALTH ORGANIZATION,"($12,923)"
0124,Cost Sharing,7,INTERNATIONAL CIVIL AVIATION,UN_AGY 1,UN AGENCY 1,ICAO,AGY_INTERNATIONAL CIVIL AVIAT,$0
0125,Cost Sharing,8,WORLD METEOROLOGICAL ORGANIZAT,UN_AGY 1,UN AGENCY 1,WMO,AGY_WORLD METEOROLOGICAL ORGAN,$0
0126,Cost Sharing,9,INTERNATIONAL MARITIME ORGANIZ,UN_AGY 1,UN AGENCY 1,IMO,AGY_INTERNATIONAL MARITIME ORG,$0
0127,Cost Sharing,10,INTERNATIONAL TELECOMMUNICATIO,UN_AGY 1,UN AGENCY 1,ITU,AGY_INTERNATIONAL TELECOMMUNIC,"($7,932)"
0128,Cost Sharing,11,UNITED NATIONS VOLUNTEERS,UN_AGY 1,UN AGENCY 1,UNDP(UNV),UNDP - United Nations Voluntee,"$2,000"
0129,Cost Sharing,12,UNITED NATIONS DEVELOPMENT PRO,UN_AGY 1,UN AGENCY 1,UNDP_AGY,AGY_UNITED NATIONS DEVELOPMENT,"($960,152)"
0130,Cost Sharing,13,UN INDUSTRIAL DEVELOPMENT ORGA,UN_AGY 1,UN AGENCY 1,UNIDO,AGY_UN INDUSTRIAL DEVELOPMENT,"$13,589"
0131,Cost Sharing,14,UNIVERSAL POSTAL UNION,UN_AGY 1,UN AGENCY 1,UPU,AGY_UNIVERSAL POSTAL UNION,$0
0132,Cost Sharing,15,WORLD BANK (INT'L. BANK FOR RE,MUTLI_AGY2,MULTI-LATERAL AGENCY2,WB,WORLD BANK,"($265,209)"
0133,Cost Sharing,16,INTER-AMERICAN DEVELOPMENT BAN,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IDB,Inter-American Development Ban,"($253,910)"
0134,Cost Sharing,17,AFRICAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ADB,African Development Bank,$0
0135,Cost Sharing,18,ASIAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ASDB,Asian Development Bank,"$61,017"
0136,Cost Sharing,19,ARAB FUND FOR ECONOMIC & SOCIA,MUTLI_AGY2,MULTI-LATERAL AGENCY2,AFESD,Arab Fund for Economic and Soc,$0
0137,Cost Sharing,20,ISLAMIC DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,ISDB,ISLAMIC DEVELOPMENT BANK,"$16,000,000"
0138,Cost Sharing,21,ECONOMIC COMMISSION FOR LATIN,UN_AGY 1,UN AGENCY 1,ECLAC,AGY_ECONOMIC COMMISSION FOR LA,$0
0139,Cost Sharing,22,ESCWA,UN_AGY 1,UN AGENCY 1,ESCWA,AGY_ECONOMIC AND SOCIAL COMMIS,$0
0140,Cost Sharing,23,UN CENTRE FOR HUMAN SETTLEMENT,UN_AGY 1,UN AGENCY 1,UNCHS,AGY_UN CENTRE FOR HUMAN SETTLE,"($93,665)"
0141,Cost Sharing,24,INTERNATIONAL FINANCE CORPORAT,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IFC,INTERNATIONAL FINANCE CORP,$0
0142,Cost Sharing,25,EUROPEAN BANK FOR RECONSTRUCTI,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EBRD,Euro Bank for Reconstruct & De,"$204,023"
0143,Cost Sharing,26,CARIBBEAN DEVELOPMENT BANK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,CDB,Caribbean Development Bank,$0
0144,Cost Sharing,27,INTERNATIONAL TRADE CENTRE,UN_AGY 1,UN AGENCY 1,ITC,AGY_INTERNATIONAL TRADE CENTRE,$0
0145,Cost Sharing,28,UN Office on Drugs and Crime,UN_AGY 1,UN AGENCY 1,UNODC,AGY_UN INTERNATIONAL DRUG CONT,"$321,181"
0146,Cost Sharing,29,INTERNATIONAL NON-GOVERNMENTAL,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,NGO(INTL),PRIV_INTERNATIONAL NON-GOVERNM,($311)
0147,Cost Sharing,30,NON-GOVERNMENTAL ORGANIZATION,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,NGO(NATL)1,PRIV_NON-GOVERNMENTAL ORGANIZA,($286)
0148,Cost Sharing,31,UNITED NATIONS POPULATION FUND,UN_AGY 1,UN AGENCY 1,UNFPA,AGY_UNITED NATIONS POPULATION,"($57,196)"
0149,Cost Sharing,32,UN Women,UN_AGY 1,UN AGENCY 1,UNIFEM,AGY_UN DEVELOPMENT FUND FOR WO,"$464,247"
0150,Cost Sharing,33,UN TRUST FUND FOR SUDANO-SAHEL,UN_AGY 1,UN AGENCY 1,UNSO,United Nations Trust Fund for,$0
0151,Cost Sharing,34,UNITED NATIONS UNIVERSITY,UN_AGY 1,UN AGENCY 1,UNU,AGY_UNITED NATIONS UNIVERSITY,$0
0152,Cost Sharing,35,UNITED NATIONS CHILDREN'S FUND,UN_AGY 1,UN AGENCY 1,UNICEF,AGY_UNITED NATIONS CHILDREN'S,"$1,464,700"
0153,Cost Sharing,36,INTERNATIONAL FUND FOR AGRICUL,UN_AGY 1,UN AGENCY 1,IFAD,AGY_NTERNATIONAL FUND FOR AGRI,"$80,215"
0154,Cost Sharing,37,WORLD FOOD PROGRAMME,UN_AGY 1,UN AGENCY 1,WFP,AGY_WORLD FOOD PROGRAMME,"$143,212"
0155,Cost Sharing,38,UNOCHA,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"$939,189"
0156,Cost Sharing,39,INTERNATIONAL MONETARY FUND,MUTLI_AGY2,MULTI-LATERAL AGENCY2,IMF,INTERNATIONAL MONETARY FUND,$0
0157,Cost Sharing,40,UN HIGH COMMISSIONER FOR REFUG,UN_AGY 1,UN AGENCY 1,UNHCR,AGY_UN HIGH COMMISSIONER FOR R,"$1,599,720"
0158,Cost Sharing,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,"$3,925,200"
0159,Cost Sharing,42,DEVELOPMENT NETWORK,MUTLI_AGY2,MULTI-LATERAL AGENCY2,DEVNET,Development Network,"$120,431"
0160,Cost Sharing,43,INTERNATIONAL ORGANIZATION FOR,UN_AGY 1,UN AGENCY 1,IOM,AGY_INTERNATIONAL ORGANIZATION,"$9,978"
0161,Cost Sharing,44,GOVERNMENT OF AFGHANISTAN,AFG,Afghanistan,AFG_GOVT,Afghanistan Government,"$194,476"
0162,Cost Sharing,45,GOVERNMENT OF ALBANIA,ALB,Albania,ALB_GOVT,Albania Government,$0
0163,Cost Sharing,46,GOVERNMENT OF ALGERIA,DZA,Algeria,DZA_GOVT,Algeria Government,"$715,655"
0164,Cost Sharing,48,GOVERNMENT OF ANDORRA,AND,Andorra,AND_GOVT,Andorra Government,$0
0165,Cost Sharing,49,GOVERNMENT OF ANGOLA,AGO,Angola,AGO_GOVT,Angola Government,($326)
0166,Cost Sharing,50,GOVERNMENT OF ANGUILLA,AIA,Anguilla,AIA_GOVT,Anguilla Government,$0
0167,Cost Sharing,51,GOVERNMENT OF ANTIGUA AND BARB,ANT,Antigua and Barbuda,ANT_GOVT,Antigua and Barbuda Government,($283)
0168,Cost Sharing,52,GOVERNMENT OF ARGENTINA,ARG,Argentina,ARG_GOVT,Argentina Government,$0
0169,Cost Sharing,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"$6,302,791"
0170,Cost Sharing,56,GOVERNMENT OF AUSTRIA,AUT,Austria,AUT_GOVT,Austria Government,"$144,528"
0171,Cost Sharing,57,GOVERNMENT OF AZERBAIJAN,AZE,Azerbaijan,AZE_GOVT,Azerbaijan Government,$0
0172,Cost Sharing,58,GOVERNMENT OF BAHRAIN,BHR,Bahrain,BHR_GOVT,Bahrain Government,"($37,294)"
0173,Cost Sharing,60,GOVERNMENT OF BURUNDI,BDI,Burundi,BDI_GOVT,Burundi Government,"$10,234"
0174,Cost Sharing,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,"$3,601,075"
0175,Cost Sharing,62,GOVERNMENT OF BENIN,BEN,Benin,BEN_GOVT,Benin Government,"$121,078"
0176,Cost Sharing,63,GOVERNMENT OF BERMUDA,BMU,Bermuda,BMU_GOVT,Bermuda Government,$0
0177,Cost Sharing,64,GOVERNMENT OF BANGLADESH,BGD,Bangladesh,BGD_GOVT,Bangladesh Government,$0
0178,Cost Sharing,66,GOVERNMENT OF BHUTAN,BTN,Bhutan,BTN_GOVT,Bhutan Government,$0
0179,Cost Sharing,67,GOVERNMENT OF BOSNIA AND HERZE,BIH,Bosnia and Herzegovina,BIH_GOVT,Bosnia and Herzegovina Governm,"$784,708"
0180,Cost Sharing,68,GOVERNMENT OF BURKINA FASO,BFA,Burkina Faso,BFA_GOVT,Burkina Faso Government,"$163,658"
0181,Cost Sharing,69,GOVERNMENT OF BOLIVIA,BOL,Bolivia,BOL_GOVT,Bolivia Government,"$647,890"
0182,Cost Sharing,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,"$2,762,769"
0183,Cost Sharing,71,GOVERNMENT OF BRAZIL,BRA,Brazil,BRA_GOVT,Brazil Government,"$11,607,642"
0184,Cost Sharing,73,GOVERNMENT OF BULGARIA,BGR,Bulgaria,BGR_GOVT,Bulgaria Government,($0)
0185,Cost Sharing,74,GOVERNMENT OF VIRGIN ISLANDS (,VGB,British Virgin Islands,VGB_GOVT,British Virgin Islands Governm,$0
0186,Cost Sharing,75,"GOVERNMENT OF BELARUS, REPUBLI",BLR,Republic of Belarus,BLR_GOVT,Republic of Belarus Government,$0
0187,Cost Sharing,76,GOVERNMENT OF BELIZE,BLZ,Belize,BLZ_GOVT,Belize Government,$0
0188,Cost Sharing,77,GOVERNMENT OF CENTRAL AFRICAN,CAF,Central African Republic,CAF_GOVT,Central African Republic Gover,$0
0189,Cost Sharing,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,"$5,122,141"
0190,Cost Sharing,79,GOVERNMENT OF CAYMAN ISLANDS,CYM,Cayman Islands,CYM_GOVT,Cayman Islands Government,$0
0191,Cost Sharing,80,GOVERNMENT OF CZECH REPUBLIC,CZE,Czech Republic,CZE_GOVT,Czech Republic Government,"$510,673"
0192,Cost Sharing,81,GOVERNMENT OF CHAD,TCD,Chad,TCD_GOVT,Chad Government,"$258,564"
0193,Cost Sharing,82,GOVERNMENT OF CHILE,CHL,Chile,CHL_GOVT,Chile Government,"($12,805)"
