OU Description,Donor,Donor Description,Donor Rollup Level 3,Donor Rollup Level 3 Descr,Donor Rollup Level 4,Donor Rollup Level 4 Descr,Contribution Revenue
Ukraine,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"7,966,248.90"
Guinea,11363,MDTFO\JP_Peace_Building_Fund,MDTF1,BU,PBF,PEACEBUILDING,"7,958,930.21"
Nepal,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"7,731,582.85"
Guinea-Bissau,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"7,651,932.36"
Bureau for Dev. Policy,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"7,514,300.67"
Kuwait,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,"7,366,797.31"
Turkey,244,GOVERNMENT OF TURKEY,TUR,Turkey,TUR_GOVT,Turkey Government,"6,950,260.86"
Cyprus,10480,USAID,USA,United States of America,USAID,USAID,"6,893,427.58"
Mali,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"6,641,208.70"
Madagascar,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"6,478,175.07"
Guatemala,121,GOVERNMENT OF GUATEMALA,GTM,Guatemala,GTM_GOVT,Guatemala Government,"6,326,375.35"
Georgia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"6,208,328.20"
Mali,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"6,121,824.30"
Burkina Faso,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"6,049,991.26"
Jordan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"6,000,000.00"
"South Sudan, Republic of",187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"5,941,307.62"
Chad,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"5,911,317.78"
Somalia,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"5,713,921.31"
Tunisia,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"5,706,068.39"
Congo,200,GOVERNMENT OF CONGO,COG,Congo,COG_GOVT,Congo Government,"5,676,484.20"
Brazil,11575,BRA-Agencia N.Vig.Sanitaria,BRA,Brazil,BRA_MIN,Brazil Ministry,"5,512,172.71"
Brazil,11240,BRA-MIN DESENVOL VIMENTO AGRA,BRA,Brazil,BRA_MIN,Brazil Ministry,"5,473,020.06"
India,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"5,434,159.22"
Mauritania,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"5,430,746.90"
Nepal,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"5,427,558.90"
Dominican Republic,98,GOVERNMENT OF DOMINICAN REPUBL,DOM,Dominican Republic,DOM_GOVT,Dominican Republic Government,"5,373,129.37"
Prog for Palestinian People,210,GOVERNMENT OF SAUDI ARABIA,SAU,Saudi Arabia,SAU_GOVT,Saudi Arabia Government,"5,368,406.20"
"Belarus, Republic of",10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"5,295,808.87"
Mexico,1683,MEX-SECRETARIA DE MEDIO AMBIEN,MEX,Mexico,MEX_MIN,Mexico Ministry,"5,292,356.78"
Cuba,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"5,029,155.74"
Nicaragua,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"4,986,017.71"
Armenia,1059,ARM-GOVERNMENT,ARM,Armenia,ARM_GOVT,Armenia Government,"4,982,631.18"
Guatemala,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"4,982,046.66"
Colombia,1356,COL-MINISTERIO DEL INTERIOR,COL,Colombia,COL_MIN,Colombia Ministry,"4,879,734.52"
"Iran, Islamic Republic of",327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"4,813,544.15"
Afghanistan,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"4,704,501.74"
China,89,GOVERNMENT OF CHINA,CHN,People's Republic of China,CHN_GOVT,People's Republic of China Gov,"4,703,507.12"
Reg Bureau for Africa,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"4,677,642.26"
Sao Tome and Principe,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"4,530,468.40"
Turkmenistan,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"4,459,523.51"
Iraq,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"4,431,344.53"
Uruguay,1034,URU-GOBIERNO DEL URUGUAY,URY,Uruguay,URY_GOVT,Uruguay Government,"4,327,295.77"
Afghanistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"4,322,391.82"
China,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"4,292,807.09"
Bureau for Dev. Policy,1784,POL-UNAIDS,UN_AGY 1,UN AGENCY 1,UNAIDS,AGY_UNAIDS,"4,287,535.30"
Bangladesh,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"4,263,507.17"
Lebanon,1398,LEB-MINISTRY OF ENVIRONMENT,LBN,Lebanon,LBN_MIN,Lebanon Ministry,"4,247,329.53"
India,12045,GOVT. OF WEST BENGAL,IND,India,IND_GOVT,India Government,"4,180,519.37"
Ethiopia,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"4,152,421.99"
Indonesia,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"4,108,947.36"
Papua New Guinea,11344,MDTFO/JP_UN_Country_Fund_PNG,MDTF1,BU,PNG_ONE_UN,PAPUA NEW GUINEA,"4,104,471.41"
Honduras,1658,HON-SECRETARIA DE AGRICULTURA,HND,Honduras,HND_MIN,Honduras Ministry,"3,983,407.26"
Pakistan,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"3,930,048.60"
Nepal,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"3,925,524.00"
Somalia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"3,898,698.00"
Nigeria,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,"3,875,682.99"
Libya,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"3,821,404.36"
Central African Republic,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"3,779,507.35"
Afghanistan,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"3,744,541.86"
"Sudan, Republic of the",11930,MPTFO JP Sudan Refugees,MDTF1,BU,SUDAN REFUEGEES,MPTFO JP Sudan Refugees,"3,723,935.00"
Bureau for Dev. Policy,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"3,692,123.39"
Libya,11788,High Nation. Elect. Committee,LBY,Libyan Arab Jamahiriya,LBY_GOVT,Libyan Arab Jamahiriya Governm,"3,682,966.20"
Russian Federation,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"3,668,571.43"
Bosnia and Herzegovina,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"3,555,505.07"
Honduras,1117,HON-EMPRESA HONDUREÑA DE TELEC,HND,Honduras,HND_MIN,Honduras Ministry,"3,518,348.46"
Reg Bureau for Africa,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"3,506,718.00"
Mali,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"3,500,000.00"
Bangladesh,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"3,353,810.38"
Lebanon,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"3,324,641.46"
Colombia,850,COL-DEPARTAMENTO ADMINISTRATIV,COL,Colombia,COL_MIN1,Colombia Ministry1,"3,320,039.50"
"South Sudan, Republic of",551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"3,318,316.54"
Kenya,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"3,280,701.00"
Bangladesh,11953,MDTFO/UNDP-JP Bangladesh IWM,MDTF1,BU,BGD JP,MDTFO/UNDP-JP Bangladesh IWM,"3,233,890.00"
Bureau for Dev. Policy,41,UNITED NATIONS ENVIRONMENT PRO,UN_AGY 1,UN AGENCY 1,UNEP,AGY_UNITED NATIONS ENVIRONMENT,"3,199,290.31"
Mali,232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"3,198,294.24"
Colombia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"3,196,800.25"
Honduras,10480,USAID,USA,United States of America,USAID,USAID,"3,129,510.79"
Lao People's Democratic Republ,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"3,082,851.64"
Bangladesh,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"3,050,003.62"
El Salvador,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"3,038,808.95"
Mali,10480,USAID,USA,United States of America,USAID,USAID,"3,000,000.00"
"South Sudan, Republic of",12103,Government of South Sudan,-,-,-,-,"3,000,000.00"
Syria,145,GOVERNMENT OF KUWAIT,KWT,Kuwait,KWT_GOVT,Kuwait Government,"3,000,000.00"
Nepal,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,"2,999,973.45"
Ethiopia,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,"2,989,183.87"
"Sudan, Republic of the",10480,USAID,USA,United States of America,USAID,USAID,"2,928,286.00"
Kenya,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"2,885,572.14"
"Sudan, Republic of the",551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"2,884,926.42"
Niger,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"2,850,149.66"
Mali,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"2,836,855.06"
Cambodia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"2,805,006.32"
Iraq,11790,SHELL IRAQ PETROLEUM DEVELOPME,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,SHELL IRAQ,SHELL IRAQ PETROLEUM DEVELOPME,"2,764,412.50"
Pakistan,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"2,692,738.00"
"Macedonia, former Yugoslav Rep",163,"GOVERNMENT OF MACEDONIA, THE F",MKD,Macedonia,MKD_GOVT,Macedonia Government,"2,659,606.25"
Kenya,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"2,658,083.02"
Mali,95,GOVERNMENT OF DENMARK,DNK,Denmark,DNK_GOVT,Denmark Government,"2,623,294.86"
Mali,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"2,580,900.00"
Somalia,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"2,574,665.33"
Colombia,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"2,574,429.71"
Iraq,135,GOVERNMENT OF IRAQ,IRQ,Iraq,IRQ_GOVT,Iraq Government,"2,542,434.72"
Indonesia,182,GOVERNMENT OF NETHERLANDS,NLD,Netherlands,NLD_GOVT,Netherlands Government,"2,541,055.75"
Chad,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"2,500,000.00"
Colombia,893,COL-EMPRESA COLOMBIANADE PETRO,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,ECOPETROL,PRIV_COL-EMPRESA COLOMBIANADE,"2,482,590.07"
Mexico,78,GOVERNMENT OF CANADA,CAN,Canada,CAN_GOVT,Canada Government,"2,459,903.57"
Timor-Leste,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"2,453,580.91"
China,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"2,444,468.06"
Nicaragua,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"2,399,161.76"
Somalia,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"2,391,347.99"
Chile,1185,CHI-INSTITUTO NACIONAL DE LA J,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,INJ,PRIV_CHI-INSTITUTO NACIONAL DE,"2,372,682.78"
Brazil,11765,BRA - Ministerio Desenv. Socia,BRA,Brazil,BRA_MIN,Brazil Ministry,"2,371,871.41"
Kazakhstan,142,GOVERNMENT OF KAZAKHSTAN,KAZ,Kazakhstan,KAZ_GOVT,Kazakhstan Government,"2,363,452.23"
Gabon,113,GOVERNMENT OF GABON,GAB,Gabon,GAB_GOVT,Gabon Government,"2,340,950.83"
Nicaragua,187,GOVERNMENT OF NORWAY,NOR,Norway,NOR_GOVT,Norway Government,"2,317,442.64"
Yemen,11362,UNOCHA/Central_Emg_Resp_Fund,UN_AGY 1,UN AGENCY 1,OCHA,AGY_UNOCHA1,"2,301,225.00"
Ethiopia,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"2,259,647.00"
Chile,1377,CHI-MINISTERIO DE VIVIENDA Y U,CHL,Chile,CHL_MIN,Chile Ministry,"2,252,369.14"
Kyrgyzstan,11140,Japanese international Coopera,JPN,Japan,JPN_GOVT,Japan Government,"2,231,947.48"
United Republic of Tanzania,10012,BILL AND MELINDA GATES FOUNDAT,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,GATESFOUND,PRIV_BILL AND MELINDA GATES FO,"2,218,508.00"
Bureau for Dev. Policy,185,GOVERNMENT OF NIGERIA,NGA,Nigeria,NGA_GOVT,Nigeria Government,"2,208,734.05"
Kosovo,110,GOVERNMENT OF FINLAND,FIN,Finland,FIN_GOVT,Finland Government,"2,180,167.93"
Botswana,70,GOVERNMENT OF BOTSWANA,BWA,Botswana,BWA_GOVT,Botswana Government,"2,160,768.97"
Bolivia,327,"GLOBAL FUND TO FIGHT AIDS, TUB",MUTLI_AGY2,MULTI-LATERAL AGENCY2,GFATM,GFATM,"2,122,084.03"
Viet Nam,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"2,099,823.00"
Kenya,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"2,088,928.68"
Azerbaijan,1060,AZE-GOVERNMENT,AZE,Azerbaijan,AZE_GOVT,Azerbaijan Government,"2,062,038.24"
Bureau for Dev. Policy,10737,COCA COLA COMPANY,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,COCA COLA,PRIV_COCA COLA,"2,060,679.61"
Guinea,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"2,038,963.06"
Kenya,280,EUROPEAN UNION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"2,034,414.20"
Cambodia,55,GOVERNMENT OF AUSTRALIA,AUS,Australia,AUS_GOVT,Australia Government,"2,022,135.92"
Malawi,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"2,015,148.82"
Yemen,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"2,000,000.00"
Haiti,10503,MINISTRY OF FOREIGN AFFAIRS,NOR,Norway,NOR_MIN,Norway Ministry,"1,992,362.23"
Afghanistan,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,957,600.00"
Prog for Palestinian People,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,951,775.63"
Peru,550,CANADIAN INTERNATIONAL DEVELOP,CAN,Canada,CAN_MIN,Canada Ministry,"1,947,419.67"
"Macedonia, former Yugoslav Rep",232,GOVERNMENT OF SWITZERLAND,CHE,Switzerland,CHE_GOVT,Switzerland Government,"1,930,087.01"
Côte d’Ivoire,138,GOVERNMENT OF COTE D'IVOIRE,CIV,Cote D'Ivoire,CIV_GOVT,Cote D'Ivoire Government,"1,929,187.06"
Myanmar,11234,Australian Agency for Int'l De,AUS,Australia,AUS_MIN,Australia Ministry,"1,926,782.27"
Colombia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"1,925,222.91"
Mali,61,GOVERNMENT OF BELGIUM,BEL,Belgium,BEL_GOVT,Belgium Government,"1,921,952.98"
Nigeria,12093,Fedral Min. of Agriculture,NGA,Nigeria,NGA_GOVT,Nigeria Government,"1,912,045.89"
Bangladesh,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"1,910,832.66"
Brazil,11934,BRA-SG Presidencia,BRA,Brazil,BRA_GOVT,Brazil Government,"1,909,591.35"
Pakistan,141,GOVERNMENT OF JAPAN,JPN,Japan,JPN_GOVT,Japan Government,"1,902,880.32"
Croatia,10902,ENERGY EFFICIENCY FUND,HRV,Croatia,HRV_MIN,GOVERNMENT OF CROATIA,"1,875,247.25"
Georgia,10480,USAID,USA,United States of America,USAID,USAID,"1,872,262.00"
Reg Bur for Arab States,11122,Al Maktoum Foundation,PRIV_INTL 1,PRIVATE SECTOR INTERNATIONAL 1,MBRF,"PRIV_UKM, Al Maktoum Foundatio","1,871,652.00"
Egypt,1277,EGY-MINISTRY OF COMMUNICATION,EGY,Egypt,EGY_MIN,Egypt Ministry,"1,839,628.80"
Zambia,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"1,837,214.00"
Sierra Leone,551,DEPARTMENT FOR INT'L DEVELOPME,GBR,United Kingdom,GBR_GOVT,United Kingdom Government,"1,832,061.07"
El Salvador,155,GOVERNMENT OF LUXEMBOURG,LUX,Luxembourg,LUX_GOVT,Luxembourg Government,"1,825,293.35"
Libya,11779,MPTF Libya recovery Trust Fund,MDTF1,BU,LBY_,MPTF Libya recovery Trust Fund,"1,815,000.00"
"Belarus, Republic of",10480,USAID,USA,United States of America,USAID,USAID,"1,812,293.00"
Somalia,555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"1,799,893.16"
Cyprus,10159,EUROPEAN COMMISSION,MUTLI_AGY2,MULTI-LATERAL AGENCY2,EU,EUROPEAN UNION,"1,755,123.02"
Egypt,1050,EGY-GENERAL ORGANIZATTION FOR,PRIV_NATL 1,PRIVATE SECTOR NATIONAL 1,GOPP,PRIV_EGY-GENERAL ORGANIZATTION,"1,740,644.46"
"Moldova, Republic of",555,SWEDISH INT'L DEVELOPMENT COOP,SWE,Sweden,SIDA,SIDA,"1,730,681.64"
Peru,10239,FED MINISTRY FOR THE ENVIRO -,DEU,Germany,DEU_MIN,Germany Ministry,"1,707,264.40"
United Republic of Tanzania,10714,UNDP AS AA FOR JP PASS THROUGH,MDTF1,BU,UNDP(JPAA),MDTF_PASSTHROUGH,"1,707,022.92"
Bosnia and Herzegovina,10282,SWISS AGY FOR DEVELOPMENT & CO,CHE,Switzerland,CHE_MIN,Switzerland Ministry,"1,699,999.98"
